,ret,position,return
2010-12-26,-0.0452913657139,0.0,-0.0
2011-01-02,-0.0109836210723,0.0,-0.0
2011-01-09,0.00778494611086,0.0,0.0
2011-01-16,-0.0505963194408,0.0,-0.0
2011-01-23,-0.0459633760815,0.0,-0.0
2011-01-30,0.00929446563191,0.0,0.0
2011-02-06,0.018111919952,0.0,0.0
2011-02-13,0.0337377545408,0.0,0.0
2011-02-20,0.0323022158356,0.0,0.0
2011-02-27,0.0184907136931,0.0,0.0
2011-03-06,0.00691999441628,0.0,0.0
2011-03-13,0.0142320599967,0.0,0.0
2011-03-20,-0.00249275535252,0.0,-0.0
2011-03-27,0.0166585878595,0.0,0.0
2011-04-03,-0.0282530416738,0.0,-0.0
2011-04-10,0.0165284927295,0.0,0.0
2011-04-17,0.00264427519783,0.0,0.0
2011-04-24,0.000525307720557,0.0,0.0
2011-05-01,-0.0635528752231,0.0,-0.0
2011-05-08,0.00270876194796,0.0,0.0
2011-05-15,0.0108437973921,0.0,0.0
2011-05-22,-0.00803265918114,0.0,-0.0
2011-05-29,-0.0893009437975,0.0,-0.0
2011-06-05,0.0174535621722,0.0,0.0
2011-06-12,-0.00824427381963,0.0,-0.0
2011-06-19,-0.0294654196847,0.0,-0.0
2011-06-26,0.0396119494421,0.0,0.0
2011-07-03,0.0211930146039,0.0,0.0
2011-07-10,0.0329807023189,0.0,0.0
2011-07-17,0.0293126535352,0.0,0.0
2011-07-24,-0.0194250233638,0.0,-0.0
2011-07-31,-0.0359551760586,0.0,-0.0
2011-08-07,-0.0149733508573,0.0,-0.0
2011-08-14,-0.0116541062817,0.0,-0.0
2011-08-21,-0.0246058154854,0.0,-0.0
2011-08-28,0.0308085831173,0.0,0.0
2011-09-04,-0.0409342073494,0.0,-0.0
2011-09-11,-0.0256008658089,0.0,-0.0
2011-09-18,-0.00447185899542,0.0,-0.0
2011-09-25,-0.0230333076356,0.0,-0.0
2011-10-02,-0.0633623727434,0.0,-0.0
2011-10-16,0.0332821272776,0.0,0.0
2011-10-23,-0.0786659229335,0.0,-0.0
2011-10-30,0.0836417644139,0.0,0.0
2011-11-06,0.0382842500443,0.0,0.0
2011-11-13,-0.0166989640981,1.0,-0.0166989640981
2011-11-20,-0.0243436870249,0.0,-0.0
2011-11-27,-0.0130960122891,0.0,-0.0
2011-12-04,-0.024113330681,0.0,-0.0
2011-12-11,-0.0401352558188,0.0,-0.0
2011-12-18,-0.0645842982126,0.0,-0.0
2011-12-25,-0.0291258608104,0.0,-0.0
2012-01-01,-0.0182183309999,0.0,-0.0
2012-01-08,-0.0548649299184,0.0,-0.0
2012-01-15,0.0473367589886,0.0,0.0
2012-01-22,0.0253276298235,0.0,0.0
2012-02-05,0.0203423493374,0.0,0.0
2012-02-12,0.0310892943684,0.0,0.0
2012-02-19,0.0220950137533,0.0,0.0
2012-02-26,0.0537164418189,0.0,0.0
2012-03-04,0.0100071001061,0.0,0.0
2012-03-11,0.0141499955671,0.0,0.0
2012-03-18,-0.0159796186179,0.0,-0.0
2012-03-25,-0.0307614776413,0.0,-0.0
2012-04-01,-0.0690093223155,0.0,-0.0
2012-04-08,0.040145653955,0.0,0.0
2012-04-15,0.0340463543276,0.0,0.0
2012-04-22,0.0166901606891,0.0,0.0
2012-04-29,-0.0191977300586,0.0,-0.0
2012-05-06,0.025477506921,0.0,0.0
2012-05-13,-0.0113407077138,0.0,-0.0
2012-05-20,-0.0160220253384,0.0,-0.0
2012-05-27,-0.00556368780138,0.0,-0.0
2012-06-03,0.0299600183646,0.0,0.0
2012-06-10,-0.0481462868424,0.0,-0.0
2012-06-17,0.0238019155944,0.0,0.0
2012-06-24,-0.0159378262371,0.0,-0.0
2012-07-01,-0.0333823597871,0.0,-0.0
2012-07-08,0.00448922763878,0.0,0.0
2012-07-15,-0.0147606447375,0.0,-0.0
2012-07-22,-0.0189726912462,0.0,-0.0
2012-07-29,-0.0256155792648,0.0,-0.0
2012-08-05,-0.0072280021422,0.0,-0.0
2012-08-12,0.0417167736973,0.0,0.0
2012-08-19,-0.0321176520411,0.0,-0.0
2012-08-26,-0.00639659711811,0.0,-0.0
2012-09-02,-0.0386594175632,0.0,-0.0
2012-09-09,0.0621627993764,0.0,0.0
2012-09-16,0.00101240847699,0.0,0.0
2012-09-23,-0.0582172633052,0.0,-0.0
2012-09-30,0.0178265704225,0.0,0.0
2012-10-14,0.012704277285,0.0,0.0
2012-10-21,0.0139013684895,0.0,0.0
2012-10-28,-0.037179360864,0.0,-0.0
2012-11-04,0.0272668292118,0.0,0.0
2012-11-11,-0.0407979416879,0.0,-0.0
2012-11-18,-0.0345923250594,0.0,-0.0
2012-11-25,-0.00122848985613,0.0,-0.0
2012-12-02,-0.0628314132817,0.0,-0.0
2012-12-09,0.0474220377186,0.0,0.0
2012-12-16,0.0393322952152,0.0,0.0
2012-12-23,0.011363553989,0.0,0.0
2012-12-30,0.0432492110372,0.0,0.0
2013-01-06,0.00712743625,0.0,0.0
2013-01-13,0.00396897619945,0.0,0.0
2013-01-20,0.0591434271655,0.0,0.0
2013-01-27,-0.0290309926712,0.0,-0.0
2013-02-03,0.0427007610587,0.0,0.0
2013-02-10,0.0287585760865,0.0,0.0
2013-02-24,-0.0166907152635,0.0,-0.0
2013-03-03,0.0282003411837,0.0,0.0
2013-03-10,-0.021389451625,0.0,-0.0
2013-03-17,-0.0277743378522,0.0,-0.0
2013-03-24,0.0313162800996,0.0,0.0
2013-03-31,-0.037050345024,0.0,-0.0
2013-04-07,-0.0145193212159,0.0,-0.0
2013-04-14,-0.000799053222299,0.0,-0.0
2013-04-21,0.0296722797593,0.0,0.0
2013-04-28,-0.036471203639,0.0,-0.0
2013-05-05,0.024014511686,0.0,0.0
2013-05-12,0.0373150922346,0.0,0.0
2013-05-19,0.0318864958372,0.0,0.0
2013-05-26,0.0245632251755,0.0,0.0
2013-06-02,0.0156386022952,0.0,0.0
2013-06-09,-0.0585778554747,0.0,-0.0
2013-06-16,-0.008636514756,0.0,-0.0
2013-06-23,-0.0386326713504,0.0,-0.0
2013-06-30,-0.061078021819,0.0,-0.0
2013-07-07,0.0418893383458,0.0,0.0
2013-07-14,0.0158991534517,0.0,0.0
2013-07-21,-0.00899962294211,0.0,-0.0
2013-07-28,0.0294175643228,0.0,0.0
2013-08-04,0.0112899374468,0.0,0.0
2013-08-11,0.0240937503867,0.0,0.0
2013-08-18,-0.0177960337411,0.0,-0.0
2013-08-25,0.0207134889798,0.0,0.0
2013-09-01,0.00997158042297,0.0,0.0
2013-09-08,0.0351193864984,0.0,0.0
2013-09-15,0.0150256915488,0.0,0.0
2013-09-22,-0.00719423773518,0.0,-0.0
2013-09-29,0.000165713629859,0.0,0.0
2013-10-06,0.013115,0.0,0.0
2013-10-13,0.0397710035216,0.0,0.0
2013-10-20,-0.0139743040857,0.0,-0.0
2013-10-27,-0.0374911011429,0.0,-0.0
2013-11-03,-0.0312242802087,0.0,-0.0
2013-11-10,-0.0195823404259,0.0,-0.0
2013-11-17,0.0293429768603,0.0,0.0
2013-11-24,0.0284500665599,0.0,0.0
2013-12-01,0.0269666162695,0.0,0.0
2013-12-08,-0.00699420818892,0.0,-0.0
2013-12-15,0.00169771639782,0.0,0.0
2013-12-22,-0.0454548677671,0.0,-0.0
2013-12-29,0.0143489816549,0.0,0.0
2014-01-05,0.00408946898367,0.0,0.0
2014-01-12,-0.0491791197118,0.0,-0.0
2014-01-19,0.0119273504927,0.0,0.0
2014-01-26,0.0573972367536,0.0,0.0
2014-02-02,0.000707858250588,0.0,0.0
2014-02-09,0.018596,0.0,0.0
2014-02-16,0.0445941009579,0.0,0.0
2014-02-23,-0.00296221759572,0.0,-0.0
2014-03-02,-0.0354174339814,0.0,-0.0
2014-03-09,0.00918471393969,0.0,0.0
2014-03-16,-0.0307733646038,0.0,-0.0
2014-03-23,0.0163066990498,0.0,0.0
2014-03-30,-0.0220375585183,0.0,-0.0
2014-04-06,0.0191278004489,0.0,0.0
2014-04-13,0.0208080100671,0.0,0.0
2014-04-20,0.00200533321336,0.0,0.0
2014-04-27,-0.0567295983247,0.0,-0.0
2014-05-04,-0.00907980392809,0.0,-0.0
2014-05-11,-0.0133158144408,0.0,-0.0
2014-05-18,0.00286161127725,0.0,0.0
2014-05-25,0.0160757011681,0.0,0.0
2014-06-01,0.0112703359296,0.0,0.0
2014-06-08,-0.00284746199489,0.0,-0.0
2014-06-15,0.0191754352559,0.0,0.0
2014-06-22,-0.0262661769255,0.0,-0.0
2014-06-29,0.0263841838776,0.0,0.0
2014-07-06,0.0296292872618,0.0,0.0
2014-07-13,0.00628967897553,0.0,0.0
2014-07-20,0.00316999364716,0.0,0.0
2014-07-27,0.0116972250317,0.0,0.0
