,gold
2004-01-02,0.0016
2004-01-05,0.006296096
2004-01-06,0.02779764
2004-01-07,-0.006522306
2004-01-08,-0.00087535
2004-01-09,-0.008323112
2004-01-12,0.008481315
2004-01-13,-0.00455541
2004-01-14,-0.004664261
2004-01-15,-0.011229001
2004-01-16,-0.026468747
2004-01-17,0.004408928
2004-01-18,0.000182899
2004-01-19,0.003017281
2004-01-20,-0.008021878
2004-01-21,0.008362433
2004-01-29,-0.000729062
2004-01-30,-0.014227086
2004-02-02,-0.001665279
2004-02-03,-0.008247614
2004-02-04,0.000747524
2004-02-05,0.001680672
2004-02-06,-0.002050708
2004-02-09,0.012516346
2004-02-10,0.007472325
2004-02-11,-0.002289168
2004-02-12,0.005965492
2004-02-13,0.002463279
2004-02-16,-0.003640335
2004-02-17,0.00520643
2004-02-18,0.005906406
2004-02-19,-0.009485095
2004-02-20,-0.002371181
2004-02-23,-0.017003382
2004-02-24,0.002510927
2004-02-25,0.005009276
2004-02-26,-0.009322503
2004-02-27,-0.003633653
2004-03-01,-0.000467552
2004-03-02,0.000561325
2004-03-03,-0.018232819
2004-03-04,0.005714286
2004-03-05,0.003787879
2004-03-08,0.008490566
2004-03-09,0.005332086
2004-03-10,-0.005117707
2004-03-11,-0.001028807
2004-03-12,0.002246981
2004-03-15,-0.0052312
2004-03-16,0.002911071
2004-03-17,0.003558052
2004-03-18,0.008676992
2004-03-19,0.008232356
2004-03-22,0.004311927
2004-03-23,0.01306294
2004-03-24,0.000901713
2004-03-25,-0.003693694
2004-03-26,9.04241E-05
2004-03-29,0.007052441
2004-03-30,-0.001077393
2004-03-31,0.008538558
2004-04-01,0.005970947
2004-04-02,0.002391921
2004-04-05,-0.0101635
2004-04-06,-0.008482143
2004-04-07,0.009365151
2004-04-08,0.006155768
2004-04-09,-0.001330023
2004-04-12,0
2004-04-13,-0.005593536
2004-04-14,-0.022678571
2004-04-15,-0.014251781
2004-04-16,0.004355885
2004-04-19,0.007751223
2004-04-20,-0.011354272
2004-04-21,-0.014170603
2004-04-22,-0.004509583
2004-04-23,0.002642507
2004-04-26,-0.001976657
2004-04-27,0.008959728
2004-04-28,0.000186951
2004-04-29,-0.033457944
2004-04-30,0.010829627
2004-05-08,-0.012339774
2004-05-09,0
2004-05-10,-0.013365617
2004-05-11,0.004613723
2004-05-12,-0.000586281
2004-05-13,-0.007430583
2004-05-14,-0.005220646
2004-05-17,0.012872562
2004-05-18,-0.00234627
2004-05-19,0.000489956
2004-05-20,0.000489716
2004-05-21,0.002643172
2004-05-24,0.001659832
2004-05-25,0.005751048
2004-05-26,0.007656523
2004-05-27,0.005289987
2004-05-28,0.0101416
2004-05-31,-0.004262171
2004-06-01,0.003519452
2004-06-02,-0.003033175
2004-06-03,-0.009032135
2004-06-04,-0.0034539
2004-06-07,0.013670935
2004-06-08,-0.001044734
2004-06-09,-0.012264689
2004-06-10,-0.002117624
2004-06-11,-0.005691135
2004-06-14,-0.007275902
2004-06-15,0.000586338
2004-06-16,0.012012892
2004-06-17,-0.007237985
2004-06-18,0.001263731
2004-06-21,0.015533981
2004-06-22,-0.001051625
2004-06-23,0.005742176
2004-06-24,-0.002569226
2004-06-25,0.014882656
2004-06-28,-0.000846024
2004-06-29,-0.004704111
2004-06-30,-0.010208904
2004-07-01,0.002387547
2004-07-02,0.002286585
2004-07-05,0.007604563
2004-07-06,0.001698113
2004-07-07,-0.002919571
2004-07-08,0.002644753
2004-07-09,0.012435233
2004-07-12,0.005024658
2004-07-13,-0.007036386
2004-07-14,0.002237762
2004-07-15,-0.000558191
2004-07-16,-0.000186168
2004-07-19,0.006330882
2004-07-20,-9.25155E-05
2004-07-21,-0.007494449
2004-07-22,-0.005593363
2004-07-23,-0.009093466
2004-07-26,-0.008041627
2004-07-27,0.00066762
2004-07-28,-0.008482653
2004-07-29,0.005863693
2004-07-30,-0.004587156
2004-08-02,0.007872504
2004-08-03,-0.004572299
2004-08-04,0.003444976
2004-08-05,0.003051688
2004-08-06,-0.003042403
2004-08-09,0.010394812
2004-08-10,0.000471921
2004-08-11,-0.001886792
2004-08-12,-0.003308129
2004-08-13,-0.003034614
2004-08-16,0.012460763
2004-08-17,0.004791432
2004-08-18,0.00056101
2004-08-19,0.002710027
2004-08-20,0.004659832
2004-08-23,0.006957328
2004-08-24,-0.006264394
2004-08-25,-0.00398628
2004-08-26,0.004281459
2004-08-27,0.00231696
2004-08-30,-0.004623209
2004-08-31,0.005387831
2004-09-01,0.004157812
2004-09-02,-0.000828119
2004-09-03,-0.003038954
2004-09-06,-0.006558286
2004-09-07,-0.00204556
2004-09-08,-0.006987795
2004-09-09,0.005629574
2004-09-10,-0.000373204
2004-09-13,-0.000373343
2004-09-14,0.005602241
2004-09-15,-0.000835655
2004-09-16,0.000929282
2004-09-17,-0.000835577
2004-09-20,0.001765471
2004-09-21,-0.000185512
2004-09-22,0.006494109
2004-09-23,-0.001106093
2004-09-24,0.003414229
2004-09-27,-0.0022071
