,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
2000/8/31,0.87244923,4.33E-16,0.12755077,1,0,1.67E-16,0.00826804,0.007572505
2000/9/30,0.880363782,3.10E-17,0.119636218,1,9.30E-16,2.22E-16,-0.008691554,-0.010849809
2000/10/31,0.893263673,3.35E-18,0.106736327,1,5.55E-17,0,-0.046813923,-0.053455734
2000/11/30,0.488257108,1.64E-17,0.511742892,0.910398552,0,0.089601448,-0.001470136,-0.008889782
2000/12/31,0.6097981,1.46E-17,0.3902019,0.741217592,0,0.258782408,-0.010206701,-0.017369454
2001/1/31,0.5590067,1.24E-16,0.4409933,0.752657175,1.51E-15,0.247342825,0.008755134,0.006186331
2001/2/28,0.78627496,1.72E-15,0.21372504,0.812669985,0,0.187330015,-0.016085038,-0.016861093
2001/3/31,0.79388552,7.60E-17,0.20611448,0.70998004,0,0.29001996,-0.070299877,-0.061537095
2001/4/30,0.25450234,4.05E-16,0.74549766,0.50974338,1.67E-16,0.49025662,0.000353323,0.001537968
2001/5/31,0.53625096,6.93E-16,0.46374904,0.491960286,0,0.508039714,0.036654307,0.033710533
2001/6/30,0.25494244,1.82E-16,0.74505756,0.647092775,1.03E-15,0.352907225,0.001691611,-0.012446387
2001/7/31,0.31790725,0.018190188,0.663902562,0.60198162,8.20E-17,0.39801838,-0.004030936,-0.013673991
2001/8/31,0.35299502,3.40E-16,0.64700498,0.51826912,0,0.48173088,0.001495233,-0.004395697
2001/9/30,0.43056442,1.27E-15,0.56943558,0.538091496,8.89E-16,0.461908504,-0.042127373,-0.055616413
2001/10/31,0.1501,0.021095827,0.828804173,0.406995572,4.51E-16,0.593004428,0.016735244,0.021387025
2001/11/30,0.34993062,0.011617575,0.638451805,0.443338798,1.25E-15,0.556661202,0.019137728,0.023724471
2001/12/31,0.42748552,6.89E-17,0.57251448,0.573090124,4.93E-16,0.426909876,-0.001928881,0.001812111
2002/1/31,0.6697492,9.49E-19,0.3302508,0.600033462,0,0.399966538,0.000749653,0.001735688
2002/2/28,0.78414948,5.80E-17,0.21585052,0.615385939,1.45E-16,0.384614061,-0.025683927,-0.01865287
2002/3/31,0.7573625,5.61E-17,0.2426375,0.679043821,5.38E-17,0.320956179,0.034125419,0.029561944
2002/4/30,0.683563,0.008606545,0.307830455,0.797481756,0,0.202518244,-0.022288167,-0.027908375
2002/5/31,0.5477127,7.58E-16,0.4522873,0.704063593,0,0.295936407,-0.01142934,-0.01677353
2002/6/30,0.56951504,0.033876055,0.396608905,0.738331146,0,0.261668854,-0.030113327,-0.043694505
2002/7/31,0.200383495,0.176548098,0.623068407,0.61821204,0,0.38178796,-0.01926036,-0.061834553
2002/8/31,0.195491852,0.09254045,0.711967698,0.523840223,4.13E-16,0.476159777,0.009966741,0.010550382
2002/9/30,0.487384,3.85E-16,0.512616,0.441724465,8.03E-16,0.558275535,-0.014646882,-0.011741195
