,000300.SH,H11001.CSI,AU9999.SGE,s_bm,g_bm,b_bm,ms_return,bm_return
2009-01-31,0.203,0.701,0.097,0.029,0.916,0.055,0.0149562206165,-0.0075834668921
2009-02-28,0.188,0.691,0.121,0.031,0.912,0.058,0.0198617226285,0.00443611822249
2009-03-31,0.4,0.376,0.223,0.029,0.904,0.067,0.0640256749356,0.00507703855984
2009-04-30,0.707,0.109,0.184,0.032,0.909,0.059,0.0279881037069,-0.000784427898326
2009-05-31,0.603,0.246,0.151,0.037,0.9,0.064,0.041609329494,0.0120888704045
2009-06-30,0.665,0.252,0.083,0.038,0.899,0.063,0.0962350747235,0.000676232068195
2009-07-31,0.727,0.101,0.172,0.044,0.896,0.06,0.12864551762,7.85040593599e-05
2009-08-31,0.1,0.814,0.085,0.048,0.894,0.058,-0.0201729131743,-0.00779899383541
2009-09-30,0.176,0.718,0.106,0.041,0.902,0.057,0.0147634173473,0.00386175134736
2009-10-31,0.139,0.753,0.108,0.042,0.899,0.059,0.0165474718155,0.0049696349607
2009-11-30,0.455,0.409,0.136,0.044,0.898,0.059,0.0498083240282,0.0131188469343
2009-12-31,0.474,0.287,0.24,0.044,0.899,0.057,-0.00328168675175,0.000448501101005
2010-01-31,,,,0.046,0.901,0.053,0.0,-0.00151920506706
2010-02-28,0.215,0.663,0.122,0.044,0.902,0.054,0.0133000863389,0.0102891328732
2010-03-31,0.198,0.629,0.173,0.044,0.902,0.054,0.00881233931267,0.00714125088867
2010-04-30,0.323,0.624,0.053,0.045,0.901,0.054,-0.0194731452746,0.00575855191726
2010-05-31,0.2,0.707,0.094,0.043,0.9,0.057,-0.00963141719185,0.00589617844935
2010-06-30,0.244,0.623,0.133,0.043,0.896,0.061,-0.0131007418598,0.00183737299309
2010-07-31,,,,0.041,0.897,0.062,0.0,0.00711128428739
2010-08-31,0.162,0.699,0.14,0.042,0.9,0.058,0.0133932565003,0.00816254158729
2010-09-30,0.482,0.381,0.138,0.041,0.899,0.06,0.011565134298,0.00380133337231
2010-10-31,0.418,0.455,0.127,0.041,0.898,0.061,0.061582041678,-0.0019173397865
2010-11-30,0.692,0.118,0.191,0.045,0.892,0.063,-0.0482736332611,-0.0201488095663
2010-12-31,0.337,0.43,0.233,0.043,0.89,0.067,0.00805576907042,0.00903695259256
2011-01-31,0.268,0.486,0.245,0.042,0.891,0.067,-0.0178725049199,-0.00494533741907
2011-02-28,0.182,0.652,0.166,0.042,0.897,0.061,0.0163353645012,0.00328595902442
2011-03-31,0.124,0.712,0.163,0.042,0.893,0.065,0.00586460658674,0.00673419703211
2011-04-30,0.041,0.822,0.137,0.042,0.895,0.063,0.0110697100569,0.00694193726414
2011-05-31,0.059,0.858,0.083,0.041,0.898,0.061,0.00459819985892,0.00601705130802
2011-06-30,0.163,0.746,0.091,0.04,0.899,0.06,-0.0026030828376,-0.00443358658132
2011-07-31,,,,0.039,0.889,0.072,0.0,-0.0040983983176
2011-08-31,0.054,0.839,0.107,0.039,0.885,0.075,0.0108324260662,0.00723030337371
2011-09-30,,,,0.038,0.879,0.083,0.0,-0.00338210576019
2011-10-31,0.15,0.775,0.075,0.036,0.89,0.074,0.02168690037,0.018459731828
2011-11-30,0.098,0.806,0.096,0.036,0.888,0.076,0.00497249616668,0.0100101430421
2011-12-31,0.101,0.769,0.13,0.035,0.89,0.075,-0.00776291796595,0.00358200474637
2012-01-31,0.086,0.754,0.16,0.032,0.896,0.071,0.0271321028793,0.0158953476916
2012-02-29,0.12,0.726,0.154,0.032,0.898,0.071,0.00826986092778,-0.000428937261122
2012-03-31,0.221,0.614,0.165,0.032,0.898,0.07,-0.0231002789073,-0.00312025736923
2012-04-30,0.082,0.756,0.161,0.03,0.904,0.066,0.005055002178,0.00239795954172
2012-05-31,0.196,0.628,0.175,0.029,0.906,0.065,0.00468299952494,0.0141861127042
2012-06-30,0.167,0.653,0.181,0.024,0.905,0.072,-0.00748900012783,0.00264219032115
2012-07-31,0.109,0.749,0.142,0.023,0.903,0.073,0.00206322576936,0.0051527327063
2012-08-31,0.062,0.772,0.166,0.02,0.905,0.075,-0.00393642639434,-0.00436426572672
2012-09-30,0.135,0.684,0.181,0.016,0.904,0.08,0.0157069711127,0.00472531274141
2012-10-31,,,,0.016,0.906,0.078,0.0,-0.00238939938635
2012-11-30,0.003,0.837,0.16,0.017,0.912,0.071,0.00249834472434,0.0013959898246
2012-12-31,0.004,0.667,0.329,0.022,0.91,0.067,-0.00872953338006,0.00376678095902
2013-01-31,0.129,0.699,0.172,0.024,0.913,0.064,0.0131076561046,0.00662737459692
2013-02-28,0.338,0.388,0.273,0.026,0.913,0.061,-0.0100772248968,0.00228161943111
2013-03-31,0.102,0.82,0.078,0.026,0.916,0.058,-0.00451474040326,0.00115828123883
2013-04-30,,,,0.029,0.912,0.059,0.0,0.00238730884336
2013-05-31,0.001,0.823,0.176,0.027,0.912,0.061,-0.00421538365117,0.00379295793556
2013-06-30,0.119,0.816,0.065,0.031,0.911,0.057,-0.0304037929513,-0.0159846056765
2013-07-31,0.043,0.921,0.035,0.037,0.931,0.033,-0.00139790533424,-0.00160827096585
2013-08-31,,,,0.034,0.924,0.041,0.0,-0.00384496323151
2013-09-30,0.072,0.854,0.074,0.04,0.911,0.049,0.00124747230153,0.00110642643584
2013-10-31,0.075,0.856,0.069,0.036,0.916,0.048,-0.00765883397663,-0.00721613870612
2013-11-30,0.025,0.909,0.066,0.028,0.935,0.037,-0.0163090899704,-0.0146469302718
2013-12-31,0.054,0.904,0.042,0.033,0.936,0.031,-0.00631628454881,-0.00509572160563
2014-01-31,0.035,0.917,0.048,0.03,0.938,0.032,0.00823943766169,0.008029152065
2014-02-28,,,,0.024,0.942,0.034,0.0,0.017718961887
2014-03-31,0.111,0.85,0.039,0.025,0.948,0.027,-0.00163250882089,-3.00563372113e-05
2014-04-30,0.071,0.855,0.073,0.022,0.95,0.027,0.00884101046477,0.00897955258534
2014-05-31,0.011,0.932,0.057,0.021,0.95,0.029,0.00972957281589,0.0107416673393
2014-06-30,0.067,0.892,0.041,0.021,0.95,0.03,0.00875333667669,0.00863064909383
2014-07-31,0.022,0.924,0.055,0.015,0.953,0.032,-0.000965767876634,-0.001269358545
2014-08-31,0.042,0.907,0.051,0.009,0.959,0.032,0.00660213567319,0.00739476884632
2014-09-30,0.024,0.936,0.04,0.017,0.954,0.029,0.00795820760633,0.00838844123665
2014-10-31,0.104,0.864,0.032,0.016,0.958,0.026,0.0155625270785,0.0153568324274
2014-11-30,0.09,0.862,0.047,0.011,0.963,0.026,0.0268651024809,0.0187034289151
2014-12-31,0.029,0.942,0.029,0.007,0.97,0.024,0.0062256333679,0.000383875427689
2015-01-31,0.018,0.936,0.046,0.015,0.959,0.027,0.0121541365332,0.0114952908963
2015-02-28,0.079,0.874,0.048,0.018,0.955,0.027,0.00835144688295,0.00721141964287
2015-03-31,0.078,0.882,0.04,0.018,0.956,0.026,0.000830600048429,-0.00735132870203
2015-04-30,0.15,0.822,0.028,0.026,0.952,0.021,0.0375218917419,0.0177668470443
2015-05-31,0.242,0.732,0.026,0.025,0.955,0.02,0.00741451787417,0.00424277378183
2015-06-30,0.125,0.848,0.027,0.027,0.955,0.018,-0.006163198473,0.00184253551128
2015-07-31,0.028,0.957,0.015,0.027,0.957,0.016,0.00637778098366,0.00644759222109
2015-08-31,0.019,0.963,0.018,0.024,0.96,0.016,0.00671065457339,0.00594173449099
2015-09-30,0.027,0.961,0.012,0.022,0.961,0.017,0.00376662073347,0.00394006452325
2015-10-31,0.11,0.874,0.016,0.021,0.965,0.014,0.0216684431268,0.013485134079
2015-11-30,0.072,0.92,0.008,0.012,0.976,0.011,2.08106545418e-05,-0.000737677504197
2015-12-31,0.076,0.919,0.005,0.019,0.981,0.0,0.0182793952549,0.0165269001415
2016-01-31,0.085,0.91,0.005,0.018,0.982,0.0,-0.0155481229969,-0.0015980130243
2016-02-29,0.165,0.823,0.012,0.011,0.982,0.006,5.37037350423e-05,0.00360650678085
2016-03-31,0.009,0.984,0.007,0.009,0.984,0.007,0.00780037631936,0.00780037631936
2016-04-30,0.145,0.838,0.017,0.01,0.984,0.006,-0.00829272413914,-0.00726249037937
2016-05-31,0.035,0.957,0.009,0.009,0.981,0.01,0.00359941626162,0.00355318690228
2016-06-30,0.045,0.942,0.013,0.01,0.982,0.008,0.00779315533019,0.00777455007042
2016-07-31,0.019,0.932,0.049,0.009,0.98,0.011,0.0101652964306,0.00989142303996
2016-08-31,0.019,0.919,0.062,0.01,0.987,0.003,0.00634834245877,0.00700310049165
2016-09-30,0.121,0.879,0.0,0.012,0.988,0.0,0.0019753204174,0.00499671972905
2016-10-31,0.018,0.98,0.002,0.013,0.987,0.0,0.00556049060288,0.00551193068252
2016-11-30,0.093,0.901,0.006,0.013,0.987,0.0,-0.00183671698229,-0.00712616286362
2016-12-31,0.187,0.803,0.011,0.016,0.984,0.0,-0.0243542119423,-0.0159107118007
2017-01-31,0.023,0.972,0.005,0.012,0.988,0.0,-0.00157648764386,-0.00191541188421
2017-02-28,0.03,0.965,0.005,0.013,0.987,0.0,-0.000827400543318,-0.00148400813591
2017-03-31,0.057,0.927,0.016,0.01,0.99,0.0,0.000154639395344,-0.000137418136522
