,000300.SH,H11001.CSI,AU9999.SGE,s_bm,g_bm,b_bm,ms_return,bm_return
2009-01-31,0.089,0.723,0.188,0.166,0.457,0.377,0.000194282919823,0.0101759653629
2009-02-28,0.109,0.699,0.193,0.204,0.41,0.386,0.0229102848169,0.0483937490778
2009-03-31,0.125,0.635,0.24,0.243,0.259,0.498,0.0169179347157,0.0303052401012
2009-04-30,0.135,0.666,0.199,0.26,0.305,0.435,0.000847955366328,0.00132145331892
2009-05-31,0.134,0.679,0.186,0.274,0.319,0.407,0.0222715112319,0.0391513053181
2009-06-30,0.152,0.634,0.213,0.293,0.272,0.436,0.0178967597901,0.0391388214992
2009-07-31,0.172,0.623,0.205,0.335,0.242,0.423,0.0245212283088,0.0557411486103
2009-08-31,0.205,0.305,0.489,0.39,0.19,0.42,-0.0401699457887,-0.0865313548639
2009-09-30,0.166,0.468,0.365,0.321,0.246,0.433,0.0266888319694,0.0397732227119
2009-10-31,0.168,0.168,0.664,0.317,0.212,0.472,0.0475350744121,0.0517277759348
2009-11-30,0.189,0.075,0.736,0.347,0.132,0.521,0.102354686739,0.0877429729655
2009-12-31,0.173,0.043,0.784,0.331,0.071,0.598,-0.0384605944777,-0.0255936726149
2010-01-31,0.192,0.743,0.065,0.33,0.134,0.536,-0.0176790241343,-0.0441714804787
2010-02-28,0.166,0.516,0.318,0.305,0.183,0.512,0.0138922799803,0.0172764679261
2010-03-31,0.156,0.279,0.566,0.309,0.177,0.514,0.00730638881408,0.00938279048806
2010-04-30,0.068,0.259,0.674,0.306,0.189,0.504,0.0312422390958,0.00210738875073
2010-05-31,0.035,0.224,0.741,0.293,0.178,0.53,0.0238583871745,-0.00846841201794
2010-06-30,0.058,0.521,0.422,0.248,0.179,0.573,0.00645761727662,-0.00633074998925
2010-07-31,0.0,0.239,0.761,0.232,0.176,0.592,-0.042304450007,-0.00529596164151
2010-08-31,0.151,0.167,0.682,0.236,0.218,0.546,0.0421438812971,0.0355203000465
2010-09-30,0.0,0.244,0.756,0.24,0.194,0.565,0.0322586413308,0.0267962943611
2010-10-31,0.0,0.21,0.79,0.239,0.176,0.585,0.0176241181284,0.0490119227203
2010-11-30,0.048,0.318,0.634,0.284,0.105,0.611,0.00295319070211,-0.0101365968312
2010-12-31,0.034,0.191,0.774,0.267,0.089,0.643,0.019169725415,0.0146638914198
2011-01-31,0.0,0.153,0.847,0.262,0.091,0.648,-0.0453006883431,-0.0389721071143
2011-02-28,0.0,0.318,0.682,0.253,0.146,0.601,0.0325046202709,0.0423382689921
2011-03-31,0.0,0.191,0.809,0.265,0.091,0.644,0.00827935785686,0.00482295348442
2011-04-30,0.0,0.166,0.834,0.271,0.077,0.653,0.0503748423189,0.0366602020111
2011-05-31,0.0,0.149,0.851,0.267,0.047,0.685,0.00264008872056,-0.0145425688397
2011-06-30,0.0,0.159,0.841,0.232,0.083,0.685,-0.016267701024,-0.00976145847123
2011-07-31,0.0,0.145,0.855,0.239,0.079,0.682,0.0511974507557,0.0354975512715
2011-08-31,0.0,0.112,0.888,0.232,0.04,0.729,0.116039379518,0.0855358708636
2011-09-30,0.012,0.882,0.106,0.219,0.0,0.781,-0.00331513523772,-0.101477983846
2011-10-31,0.0,0.924,0.076,0.2,0.034,0.766,0.0174856533185,0.0365293432459
2011-11-30,0.172,0.821,0.007,0.192,0.089,0.719,7.9732285847e-05,-0.00854580169595
2011-12-31,0.0,0.878,0.122,0.175,0.141,0.684,0.00157728305558,-0.0723296812852
2012-01-31,0.0,0.97,0.03,0.149,0.215,0.636,0.0104226601093,0.0774571365362
2012-02-29,0.151,0.779,0.069,0.163,0.198,0.639,0.00828712077102,0.0243845499346
2012-03-31,0.064,0.781,0.155,0.175,0.151,0.675,-0.0111347849543,-0.0540636068657
2012-04-30,0.0,0.767,0.233,0.169,0.208,0.624,-0.00128123401979,0.00656261877575
2012-05-31,0.0,0.343,0.657,0.177,0.207,0.617,-0.0216362750219,-0.0220689852868
2012-06-30,0.0,0.365,0.635,0.17,0.261,0.569,0.00308606953759,-0.00853675643072
2012-07-31,0.0,0.342,0.658,0.161,0.254,0.585,0.0216796913557,0.0106290494981
2012-08-31,0.0,0.316,0.684,0.14,0.271,0.589,0.0133873246413,0.00384942333065
2012-09-30,0.0,0.29,0.71,0.131,0.258,0.611,0.0422872260541,0.0416268278448
2012-10-31,0.0,0.277,0.723,0.128,0.224,0.648,-0.0318944797603,-0.0307595505805
2012-11-30,0.0,0.37,0.63,0.126,0.263,0.611,0.00455436583323,-0.00221092861214
2012-12-31,0.0,0.281,0.719,0.117,0.263,0.619,-0.0233025762617,0.000944984503592
2013-01-31,0.126,0.317,0.557,0.153,0.268,0.579,0.0136236455052,0.0152808778547
2013-02-28,0.0,0.346,0.654,0.161,0.259,0.58,-0.0230809006235,-0.0215295757958
2013-03-31,0.047,0.51,0.443,0.163,0.292,0.545,-0.00629002475169,-0.0160564856504
2013-04-30,0.0,0.444,0.556,0.152,0.311,0.537,-0.0376401622523,-0.0402094972761
2013-05-31,0.0,0.953,0.047,0.153,0.378,0.469,0.0029760544769,-0.0116554517949
2013-06-30,0.0,0.967,0.033,0.173,0.409,0.418,-0.00813144119163,-0.084915265033
2013-07-31,0.0,1.0,0.0,0.136,0.533,0.331,-0.00483022868537,0.0272136672519
2013-08-31,0.0,0.952,0.048,0.134,0.477,0.389,-0.0056359937428,0.0208217966826
2013-09-30,0.0,0.904,0.096,0.141,0.453,0.406,-0.00257331957399,-0.0108993163976
2013-10-31,0.0,0.87,0.13,0.156,0.467,0.377,-0.00743281616163,-0.0102089473783
2013-11-30,0.0,0.637,0.363,0.154,0.467,0.379,-0.0330953778926,-0.0275807965918
2013-12-31,0.0,0.648,0.352,0.166,0.488,0.346,-0.0136511142208,-0.0204215420281
2014-01-31,0.0,0.572,0.428,0.156,0.511,0.333,0.0230174948296,0.00995282926729
