,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
1996-02-29,0.129574571643,0.124702305251,0.745723123105,0.078,0.074,0.848,0.00951874526425,0.00589885807918
1996-03-31,0.111415304768,0.123600346468,0.764984348764,0.087,0.074,0.84,-0.0162878595514,-0.0164067233637
1996-04-30,0.131847093936,0.123971259172,0.744181646892,0.087,0.074,0.839,-0.00486219211251,-0.00490095554104
1996-05-31,0.143499618792,0.142249243649,0.714251137559,0.09,0.075,0.836,0.0018483004999,0.00057570954099
1996-06-30,0.148978378169,0.139919588625,0.711102033206,0.094,0.075,0.831,-0.00210238566697,-0.00169529752624
1996-07-31,0.150921922976,0.137250751987,0.711827325037,0.093,0.075,0.832,0.000274353283492,0.00373914015898
1996-08-31,0.114798896322,0.139185039927,0.746016063751,0.089,0.079,0.832,0.0169178884263,0.016961034654
1996-09-30,0.139380187024,0.137552569283,0.723067243693,0.092,0.083,0.825,-0.00133432536297,-0.00192302786201
1996-10-31,0.155028690397,0.158385372057,0.686585937546,0.095,0.08,0.825,0.0189820666777,0.0198634243109
1996-11-30,0.153126437567,0.152234804482,0.694638757951,0.1,0.077,0.823,0.0201937099872,0.0206881921684
1996-12-31,0.145551498617,0.149323800076,0.705124701306,0.104,0.076,0.82,-0.00167258402284,-0.000208268602557
1997-01-31,0.172901213796,0.142402896936,0.684695889267,0.103,0.074,0.822,-0.00337564232944,-0.00367946037094
1997-02-28,0.171869514385,0.110013242853,0.718117242762,0.115,0.072,0.813,0.0137355501439,0.0134155813104
1997-03-31,0.174662142053,0.122401693822,0.702936164126,0.121,0.068,0.811,-0.00435996336941,-0.00580532374531
1997-04-30,0.185654242362,0.118874201574,0.695471556063,0.124,0.067,0.809,-0.0116193167766,-0.00849484089009
1997-05-31,0.135098453682,0.122554631157,0.74234691516,0.12,0.068,0.813,0.0228652822639,0.0226218594445
1997-06-30,0.0729258377016,0.126852537459,0.800221624839,0.128,0.068,0.804,0.0146147360297,0.0180811321978
1997-07-31,0.12896577767,0.125035966494,0.745998255837,0.129,0.068,0.804,0.0141319913275,0.0180193061391
1997-08-31,0.144693649624,0.113352517872,0.741953832504,0.135,0.065,0.801,0.00185443561618,0.0018874394461
1997-09-30,0.207887632628,0.0160424054136,0.776069961958,0.138,0.065,0.797,0.00915065710553,0.0084531054001
1997-10-31,0.260441317864,2.16840434497e-19,0.739558682136,0.139,0.062,0.799,0.0127767469243,0.0121851990453
1997-11-30,0.258598886745,0.000851103599835,0.740550009655,0.146,0.058,0.796,0.0039946044107,0.00260399976385
1997-12-31,0.217582798892,0.0367812429125,0.745635958195,0.142,0.056,0.802,0.00979104086375,0.00723765996632
1998-01-31,0.256670009988,0.0754117371731,0.667918252839,0.144,0.052,0.805,0.0106047076948,0.0127330677442
1998-02-28,0.293586640216,0.0711517381766,0.635261621608,0.153,0.047,0.8,0.0213667320757,0.0121012516737
1998-03-31,0.180652431736,0.081741932155,0.737605636109,0.163,0.046,0.791,0.0102605327628,0.00967211995926
1998-04-30,0.173395596966,0.0847776497967,0.741826753238,0.166,0.046,0.789,0.0136160738534,0.0119807030007
1998-05-31,0.249978304996,0.0813781082664,0.668643586737,0.159,0.05,0.791,-0.000644666998433,0.00124314830068
1998-06-30,0.261230698878,0.0725869567435,0.666182344378,0.158,0.044,0.798,0.00568681763502,0.00768486508392
1998-07-31,0.298669108625,0.0655036519114,0.635827239464,0.16,0.043,0.797,0.0168025120249,0.0116606457136
1998-08-31,0.258648142523,0.0699086158703,0.671443241606,0.161,0.041,0.798,-0.0133286844569,-0.00497354209519
1998-09-30,0.00836332614996,0.0650173626081,0.926619311242,0.149,0.039,0.812,0.0165960900412,0.00641473740533
1998-10-31,1.24410427708e-18,0.0496204207655,0.950379579235,0.142,0.037,0.821,0.0116798096049,0.0118051776251
1998-11-30,0.117404606872,0.0586626201696,0.823932772958,0.161,0.026,0.813,0.00672097046766,0.0117624722084
1998-12-31,0.0212079170556,0.048603448133,0.930188634811,0.169,0.035,0.796,0.0119466967284,0.0159080166887
1999-01-31,0.102629510842,0.0451369151487,0.852233574009,0.17,0.025,0.804,0.00579883605693,0.00943241061227
1999-02-28,0.107042883771,0.0397267525785,0.853230363651,0.174,0.024,0.802,-0.00416536136456,-0.00404447787433
1999-03-31,0.201541129017,0.0270438759269,0.771414995056,0.181,0.018,0.801,0.00317202587657,0.00253726476909
1999-04-30,0.297588570551,0.0136902981961,0.688721131253,0.181,0.02,0.799,0.0184716663477,0.0144861762859
1999-05-31,0.219666042505,0.0155389720077,0.764794985487,0.184,0.018,0.798,-0.00805516993328,-0.00828675267037
1999-06-30,0.382601535521,0.0,0.617398464479,0.192,0.011,0.797,-0.0102741801073,-0.011989260001
1999-07-31,0.384852988694,0.0,0.615147011306,0.192,0.009,0.799,0.0219753768214,0.0147496146166
1999-08-31,0.291546371116,0.0,0.708453628884,0.196,0.003,0.801,-0.0159980332231,-0.0129144371367
1999-09-30,0.157206445774,0.000267783452003,0.842525770774,0.185,0.001,0.814,0.0051401788453,0.00475268809303
1999-10-31,0.225993364842,0.0,0.774006635158,0.182,0.0,0.818,-0.00475718082116,-0.00416855567049
1999-11-30,0.238197052092,0.0401324337614,0.721670514147,0.181,0.0,0.819,0.0239959356318,0.0234480472419
1999-12-31,0.0952145040277,0.0365633499429,0.868222146029,0.184,0.0,0.816,-0.001855297995,0.00157532569236
2000-01-31,0.173292300503,0.00188343961486,0.824824259883,0.185,0.0,0.815,-0.00702181819111,-0.00694022375184
2000-02-29,0.256060072954,3.03576608296e-18,0.743939927046,0.171,0.0,0.829,-0.00120347037953,0.00148132095715
2000-03-31,0.191956357615,0.0,0.808043642385,0.151,0.0,0.849,0.0166853898967,0.0155845377449
