,000300.SH,H11001.CSI,AU9999.SGE,s_bm,g_bm,b_bm,ms_return,bm_return
2009-01-31,0.144,0.71,0.146,0.073,0.788,0.139,0.00732176732261,-0.00187995869499
2009-02-28,0.09,0.762,0.148,0.073,0.787,0.14,0.0171503347949,0.0153575519215
2009-03-31,0.116,0.707,0.178,0.073,0.79,0.137,0.0169878500033,0.0107432247128
2009-04-30,0.111,0.71,0.179,0.072,0.79,0.138,0.000179724856488,-0.000712280779405
2009-05-31,0.1,0.731,0.169,0.066,0.808,0.126,0.0199403382923,0.0163546358498
2009-06-30,0.094,0.766,0.14,0.066,0.809,0.125,0.0091293600897,0.00487729040449
2009-07-31,0.103,0.733,0.164,0.067,0.808,0.124,0.0114494149738,0.004585444432
2009-08-31,0.102,0.746,0.152,0.068,0.808,0.125,-0.0197051760254,-0.0117466909493
2009-09-30,0.128,0.744,0.127,0.064,0.812,0.124,0.0127513482536,0.00856232866035
2009-10-31,0.082,0.781,0.136,0.064,0.813,0.123,0.0126337748493,0.0102846744101
2009-11-30,0.097,0.757,0.147,0.064,0.814,0.122,0.0270163990802,0.0218577666702
2009-12-31,0.098,0.739,0.163,0.064,0.817,0.119,-0.00468807645773,-0.0027325440741
2010-01-31,0.104,0.748,0.148,0.065,0.818,0.117,-0.010141024903,-0.00514602567302
2010-02-28,0.124,0.781,0.095,0.064,0.818,0.118,0.011759798637,0.0110197253481
2010-03-31,0.068,0.802,0.131,0.064,0.818,0.117,0.00726318117115,0.00723344963791
2010-04-30,0.11,0.764,0.126,0.065,0.818,0.118,0.00306997421014,0.00679886749317
2010-05-31,0.118,0.758,0.124,0.064,0.819,0.117,-0.000290947728741,0.0051961902288
2010-06-30,0.083,0.79,0.127,0.065,0.817,0.118,-0.000302726193794,0.000993887515151
2010-07-31,0.113,0.771,0.116,0.063,0.82,0.117,0.0117758919025,0.00606965303265
2010-08-31,0.104,0.761,0.135,0.063,0.822,0.115,0.0127051139503,0.0113460733377
2010-09-30,0.097,0.77,0.133,0.063,0.822,0.115,0.00740502132841,0.00630918579328
2010-10-31,0.168,0.719,0.113,0.062,0.822,0.116,0.0205430645391,0.00346356453771
2010-11-30,0.143,0.721,0.136,0.063,0.821,0.116,-0.0222221527748,-0.0189170759307
2010-12-31,0.1,0.75,0.15,0.064,0.812,0.124,0.00956829721885,0.00960788085658
2011-01-31,0.096,0.762,0.142,0.065,0.811,0.124,-0.00974177834278,-0.00830587683906
2011-02-28,0.106,0.761,0.133,0.064,0.813,0.123,0.010470104347,0.00764703731259
2011-03-31,0.084,0.777,0.139,0.064,0.814,0.122,0.0063255356205,0.00654547563809
2011-04-30,0.105,0.769,0.126,0.064,0.813,0.123,0.00959487619902,0.00998110107114
2011-05-31,0.123,0.754,0.123,0.065,0.81,0.125,-0.000145927596638,0.00385254169739
2011-06-30,0.089,0.774,0.137,0.066,0.81,0.124,-0.00462497867233,-0.00486579304854
2011-07-31,0.091,0.772,0.137,0.065,0.807,0.128,-0.000343056441513,-0.00057883936779
2011-08-31,0.101,0.768,0.131,0.065,0.806,0.129,0.0120654031188,0.0132813547496
2011-09-30,0.105,0.773,0.122,0.065,0.808,0.127,-0.0147349885106,-0.0111750329282
2011-10-31,0.104,0.804,0.091,0.064,0.815,0.121,0.0206876453167,0.0201614445383
2011-11-30,0.09,0.799,0.11,0.065,0.813,0.122,0.00544442704231,0.00729022920783
2011-12-31,0.103,0.756,0.141,0.066,0.81,0.124,-0.00908957930287,-0.00418630921995
2012-01-31,0.099,0.76,0.141,0.066,0.813,0.12,0.0257920559416,0.0222618234452
2012-02-29,0.093,0.785,0.122,0.068,0.815,0.116,0.00542788887518,0.00343200888914
2012-03-31,0.087,0.774,0.139,0.068,0.815,0.117,-0.0117139050267,-0.00886860882491
2012-04-30,0.094,0.766,0.139,0.068,0.817,0.115,0.00609329338562,0.00453792416019
2012-05-31,0.084,0.777,0.139,0.071,0.815,0.114,0.00874648767058,0.0104926332517
2012-06-30,0.106,0.751,0.143,0.07,0.815,0.115,-0.00319005726063,-0.000638342838208
2012-07-31,0.103,0.773,0.124,0.068,0.818,0.114,0.00193614230605,0.00366562768799
2012-08-31,0.091,0.778,0.132,0.07,0.816,0.114,-0.00631176813218,-0.00576331707359
2012-09-30,0.112,0.763,0.126,0.072,0.814,0.113,0.0114315913387,0.00901260314752
2012-10-31,0.089,0.784,0.127,0.072,0.813,0.115,-0.00598168373055,-0.00511791312987
2012-11-30,0.109,0.752,0.138,0.073,0.813,0.114,-0.00321938347119,-0.00140319452978
2012-12-31,0.105,0.764,0.131,0.074,0.814,0.111,0.0161744231067,0.0114000438695
2013-01-31,0.115,0.736,0.149,0.074,0.813,0.113,0.0122274022017,0.00970617927944
2013-02-28,0.114,0.749,0.137,0.073,0.813,0.114,-0.00190310486647,-0.000489703923391
2013-03-31,0.093,0.77,0.137,0.072,0.816,0.112,-0.00479397082404,-0.00292463876856
2013-04-30,0.108,0.764,0.128,0.074,0.813,0.113,-0.00542555890948,-0.00326996219521
2013-05-31,0.149,0.703,0.148,0.074,0.814,0.113,0.00614973054769,0.00366758523707
2013-06-30,0.094,0.759,0.148,0.074,0.814,0.112,-0.0374991516159,-0.0297348499955
2013-07-31,0.101,0.801,0.098,0.077,0.821,0.102,0.0047402030239,0.00509234712452
2013-08-31,0.083,0.774,0.143,0.076,0.822,0.102,0.00462535171443,0.00202088052396
2013-09-30,0.105,0.775,0.12,0.078,0.817,0.104,0.0004876843072,0.000138892722293
2013-10-31,0.092,0.792,0.116,0.068,0.837,0.095,-0.00808523092381,-0.00776298628158
2013-11-30,0.081,0.813,0.106,0.07,0.833,0.097,-0.0161168389436,-0.0160939838029
2013-12-31,0.082,0.816,0.102,0.073,0.829,0.098,-0.00934723445456,-0.00884625053534
2014-01-31,0.087,0.809,0.104,0.068,0.838,0.094,0.00678005376061,0.00765881983936
2014-02-28,0.129,0.78,0.09,0.067,0.839,0.094,0.0176153189163,0.0195262829448
2014-03-31,0.092,0.796,0.112,0.071,0.831,0.098,-0.00276597591193,-0.00215701915066
2014-04-30,0.171,0.725,0.104,0.073,0.831,0.096,0.00853621878159,0.00885485087677
2014-05-31,0.105,0.782,0.113,0.073,0.83,0.097,0.00619815259423,0.00727512519176
2014-06-30,0.139,0.75,0.11,0.074,0.828,0.098,0.0103983899724,0.0103209045877
2014-07-31,0.269,0.631,0.101,0.075,0.826,0.099,0.0200712152288,0.00309351352809
2014-08-31,0.114,0.765,0.121,0.077,0.825,0.099,0.00433660648807,0.00524652171215
2014-09-30,0.093,0.798,0.109,0.084,0.82,0.097,0.0062284611452,0.00665472319475
2014-10-31,0.089,0.809,0.101,0.085,0.817,0.099,0.011195593278,0.0113263922458
2014-11-30,0.099,0.782,0.119,0.087,0.81,0.103,0.02812740326,0.0268273932933
2014-12-31,0.115,0.746,0.139,0.088,0.798,0.114,0.0311898571722,0.0235774183648
2015-01-31,0.082,0.773,0.146,0.079,0.808,0.113,0.0138073831812,0.0125467624239
2015-02-28,0.11,0.746,0.144,0.082,0.805,0.113,0.00544259153233,0.00579315576573
2015-03-31,0.108,0.751,0.141,0.081,0.805,0.113,0.00222149616916,-0.000827878418298
2015-04-30,0.107,0.772,0.121,0.083,0.804,0.113,0.0311581877085,0.0273036776176
2015-05-31,0.098,0.759,0.143,0.08,0.803,0.117,0.00362829474704,0.00371964643429
2015-06-30,0.115,0.739,0.146,0.08,0.803,0.117,-0.00719800915941,-0.00394064773118
2015-07-31,0.101,0.784,0.115,0.079,0.804,0.117,-0.0141285906165,-0.0108112230154
2015-08-31,0.116,0.761,0.123,0.076,0.811,0.112,0.00185873376255,0.00611241729528
2015-09-30,0.074,0.807,0.119,0.077,0.81,0.113,-0.000845511472259,-0.000891491501025
2015-10-31,0.121,0.753,0.126,0.077,0.81,0.113,0.023040303983,0.0189551768482
2015-11-30,0.106,0.764,0.13,0.077,0.808,0.115,-0.00793982215689,-0.00719068020936
2015-12-31,0.103,0.786,0.111,0.074,0.823,0.103,0.0197568749284,0.0188311719975
2016-01-31,0.111,0.772,0.117,0.075,0.82,0.105,-0.0144806533961,-0.00753350014583
2016-02-29,0.103,0.784,0.113,0.071,0.82,0.109,0.0109254603201,0.0114130784442
2016-03-31,0.08,0.809,0.111,0.072,0.821,0.107,0.0137224777608,0.0129074801417
2016-04-30,0.051,0.83,0.119,0.071,0.821,0.108,-0.00220501593601,-0.00297615600955
2016-05-31,0.096,0.783,0.121,0.072,0.817,0.111,-0.000800992458701,-0.000410568854026
2016-06-30,0.107,0.776,0.116,0.072,0.818,0.111,0.0161571494982,0.0161529186454
2016-07-31,0.134,0.755,0.11,0.072,0.821,0.108,0.0111968836099,0.0108281826304
2016-08-31,0.089,0.799,0.112,0.071,0.823,0.106,0.00778491068606,0.00730601268908
2016-09-30,0.126,0.745,0.129,0.071,0.821,0.108,0.00195096108427,0.00345692365464
2016-10-31,0.165,0.733,0.102,0.073,0.813,0.114,0.00590150069116,0.00372089629652
2016-11-30,0.118,0.768,0.115,0.072,0.817,0.112,-0.00356533184513,-0.00662093450003
2016-12-31,0.149,0.724,0.127,0.073,0.814,0.113,-0.0224478505897,-0.0187033098333
2017-01-31,0.164,0.696,0.14,0.078,0.798,0.124,0.00355707557827,0.00116429059642
2017-02-28,0.16,0.704,0.136,0.078,0.793,0.13,0.00978483993387,0.00770790685944
2017-03-31,0.14,0.725,0.134,0.078,0.794,0.129,-0.000565057353769,-0.00117258815325
