,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
2000/8/31,0.288065643,0.267393175,0.444541181,0.232936024,0.230471255,0.53659272,0.00100184,0.002745803
2000/9/30,0.276615345,0.295392578,0.427992076,0.231562096,0.228654153,0.539783751,-0.001013533,0.000525307
2000/10/31,0.263780065,0.33307773,0.403142205,0.231693313,0.229218951,0.539087737,-0.014337582,-0.01025361
2000/11/30,0.198705778,0.378118704,0.423175517,0.229409212,0.229518228,0.541072559,-0.005249123,-0.002303574
2000/12/31,0.215994366,0.373002142,0.411003492,0.230628386,0.22926245,0.540109164,0.010939391,0.0102641
2001/1/31,0.214059845,0.364422762,0.421517393,0.23177496,0.229959553,0.538265487,-0.000382695,0.004442299
2001/2/28,0.238221202,0.359032265,0.402746534,0.232361342,0.234724371,0.532914287,-0.00772981,-0.004871324
2001/3/31,0.23380791,0.364339269,0.401852821,0.230577357,0.23436708,0.535055563,-0.014881983,-0.013447793
2001/4/30,0.160941409,0.408777012,0.430281579,0.227784627,0.23515326,0.537062113,-0.003659471,-0.001829281
2001/5/31,0.199537799,0.385000591,0.41546161,0.224696157,0.234189392,0.541114451,0.030580049,0.02586512
2001/6/30,0.184223053,0.308404391,0.507372556,0.222613946,0.23279389,0.544592164,-0.000610394,-0.000805027
2001/7/31,0.183406033,0.341550822,0.475043145,0.221128009,0.236176801,0.54269519,-0.005337581,-0.004697141
2001/8/31,0.181753877,0.356901693,0.461344431,0.219243628,0.235753444,0.545002928,0.009167021,0.007298452
2001/9/30,0.193882311,0.347645413,0.458472275,0.219996584,0.234362429,0.545640987,-0.001926835,-0.008627345
2001/10/31,0.162971252,0.308667461,0.528361287,0.218467686,0.23379023,0.547742085,0.011467547,0.013812636
2001/11/30,0.184227838,0.331935955,0.483836207,0.215929491,0.230479425,0.553591084,0.003024079,0.007176148
2001/12/31,0.187100074,0.344867779,0.468032147,0.210204048,0.222812268,0.566983684,-0.004070648,-0.0049049
2002/1/31,0.213497512,0.339694704,0.446807784,0.20768257,0.220513199,0.57180423,0.010781965,0.009608435
2002/2/28,0.23064872,0.327518199,0.441833081,0.207997648,0.220715452,0.5712869,0.011146453,0.00759968
2002/3/31,0.247088218,0.245845277,0.507066505,0.210102547,0.222395221,0.567502232,0.005869303,0.00357338
2002/4/30,0.22910086,0.295645002,0.475254138,0.210574524,0.226046893,0.563378584,0.004831496,0.004425394
2002/5/31,0.210818473,0.292952119,0.496229408,0.208628837,0.229171802,0.562199361,0.008896162,0.007052884
2002/6/30,0.223753739,0.261510678,0.514735583,0.210068326,0.231904526,0.558027149,-0.000863833,-5.58E-05
2002/7/31,0.163609336,0.303672923,0.532717741,0.208396585,0.231521297,0.560082117,-0.019374462,-0.022096213
2002/8/31,0.149298207,0.324790267,0.525911527,0.199829255,0.231908545,0.568262199,0.004423184,0.006472078
2002/9/30,0.188887793,0.310570368,0.500541839,0.194814942,0.241661778,0.56352328,0.008362675,0.007094906
